DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60201956;Wassermanngasse;Wien;49000001;15.5786106;48.6945799
60201957;Schweizer-Garten-Straße;Wien;49000001;16.3829621;48.1859546
60202003;Wolfgang-Pauli-Gasse;Wien;49000001;16.2159833;48.2070143
60202004;Weidlingau, Herzmanskystr.;Wien;49000001;16.2149502;48.2095287
60202006;Schloss Neugebäude;Wien;49000001;16.4478654;48.1610215
60202033;Deinleingasse/Schule;Wien;49000001;16.444883;48.2214403
60202239;Otto-Storch-Gasse;Wien;49000001;16.4105673;48.2709846
60202260;Tarifpunkt Simmering;Wien;49000001;16.4186791;48.1695895
60202500;Leebgasse, Siccardsburgg.;Wien;49000001;16.3701072;48.1759577
60202501;Oberlaa, Laaer-Berg-Str.;Wien;49000001;16.3995809;48.1422447
60202503;Anastasius-Grün-Gasse;Wien;49000001;16.3494729;48.2299384
60202689;Tarifpunkt Kliebergasse;Wien;49000001;16.361717;48.18175
60202769;Tarifpunkt Leopoldau;Wien;49000001;16.4610437;48.2800722
60202910;Betriebshof Favoriten;Wien;49000001;16.3730627;48.1784017
60202911;Betriebshof Simmering;Wien;49000001;16.4239253;48.1668335
60202912;Zimmermannplatz;Wien;49000001;16.3428613;48.2163408
60202913;Betriebshof Speising;Wien;49000001;16.2899236;48.1707338
60202915;Betriebshof Rudolfsheim;Wien;49000001;16.3224516;48.1902247
60202916;Betriebshof Ottakring;Wien;49000001;16.3042877;48.208924
60202917;Betriebshof Hernals;Wien;49000001;16.3211131;48.2224338
60202918;Betriebshof Gürtel;Wien;49000001;16.3499041;48.2309138
60202920;Betriebshof Brigittenau;Wien;49000001;16.3665948;48.235976
60202921;Betriebshof Floridsdorf;Wien;49000001;16.3994642;48.2631511
60202922;Betriebshof Kagran;Wien;49000001;16.4348937;48.2449801
60202923;Betriebshof Spetterbrücke;Wien;49000001;16.3107016;48.2083074
60202924;Raxstraße, Betriebsgarage;Wien;49000001;16.3669092;48.1632325
60202950;Speising, Gallgasse;Wien;49000001;16.2861058;48.1694757
60202951;Barnabitengasse;Wien;49000001;16.3546382;48.1979376
60202952;Per-Albin-Hansson-Siedlung;Wien;49000001;16.3820279;48.1528056
60202953;Pensionisten-Wohnhaus Laaer Berg;Wien;49000001;16.3845701;48.1512534
60202954;Gartenschaugasse;Wien;49000001;16.3966165;48.1490718
60203018;Leopoldauer Straße;Gerasdorf bei Wien;43012035;16.4670444;48.2935035
60203028;Schöffelstraße;Allerheiligenbg/Wien;43019050;16.1882343;48.2394701
60203029;Goethestraße;Allerheiligenbg/Wien;43019050;16.1882253;48.2374718
60203121;Josefsplatz;Baden bei Wien;43006004;16.2335543;48.0058493
60203134;Viadukt;Baden bei Wien;43006004;16.2413337;48.0036555
60203142;Leesdorf;Baden bei Wien;43006004;16.251296;47.9995922
60203203;Grenzgasse;Breitenfurt (b.Wien);43017003;16.2204838;48.1371853
60203290;Stefan-Fadinger-Straße;Helmahof;43008008;16.5709166;48.3094944
60203409;Rotes Kreuz;Exelberg;43021044;16.241738;48.2494188
60203499;Gerasdorf, Bahnhof;Gerasdorf bei Wien;43012035;16.4837351;48.2933122
60203501;Auerbachweg;Gerasdorf bei Wien;43012035;16.444892;48.2959419
60203505;Franz-Welte-Weg;Gerasdorf bei Wien;43012035;16.4516473;48.2954757
60203506;Kirchengasse/Rathaus;Gerasdorf bei Wien;43012035;16.4680955;48.2958343
60203509;Gerasdorf, Josef-Böck-Gasse;Gerasdorf bei Wien;43012035;16.4788393;48.2935334
60203510;Gerasdorf, Postamt;Gerasdorf bei Wien;43012035;16.4685446;48.294639
60203512;Schulgasse;Gerasdorf bei Wien;43012035;16.458196;48.2950096
60203513;Sparkasse;Gerasdorf bei Wien;43012035;16.4617533;48.2949618
60203514;Volksschule;Gerasdorf bei Wien;43012035;16.4582499;48.2967905
60203556;Groß-Enzersdorf;Groß-Enzersdorf;43008021;16.5493121;48.2000632
