pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"at:49:1468:18_at:49:1468:0:20_stairs_1","at:49:1468:18","at:49:1468:0:20","2","1","90"
"at:49:1468:18_at:49:1468:0:20_escalator_1","at:49:1468:18","at:49:1468:0:20","4","1","102"
"at:49:1468:18_at:49:1468:0:20_elevator_1","at:49:1468:18","at:49:1468:0:20","5","1","120"
"at:49:1468:18_at:49:1468:25_stairs_1","at:49:1468:18","at:49:1468:25","2","1","90"
"at:49:1468:18_at:49:1468:25_escalator_1","at:49:1468:18","at:49:1468:25","4","1","102"
"at:49:1468:18_at:49:1468:25_elevator_1","at:49:1468:18","at:49:1468:25","5","1","120"
"at:49:1468:18_at:49:1468:0:2_stairs_1","at:49:1468:18","at:49:1468:0:2","2","1","90"
"at:49:1468:18_at:49:1468:0:2_escalator_1","at:49:1468:18","at:49:1468:0:2","4","1","102"
"at:49:1468:18_at:49:1468:0:2_elevator_1","at:49:1468:18","at:49:1468:0:2","5","1","120"
"at:49:1468:19_at:49:1468:21_walkway_1","at:49:1468:19","at:49:1468:21","1","1","120"
"at:47:294:0:1_at:47:294:10_stairs_1","at:47:294:0:1","at:47:294:10","2","1","90"
"at:47:294:0:1_at:47:294:10_elevator_1","at:47:294:0:1","at:47:294:10","5","1","120"
